observed,predicted,low,high,anomalous,actual_anomaly,err,threshold
760.894,768.046,754.687,781.406,0,0,0.143045,0.267193
760.456,768.87,755.635,782.104,0,0,0.16827,0.264695
759.374,768.736,755.484,781.989,0,0,0.187248,0.265044
757.867,768.514,755.275,781.752,0,0,0.2,0.264771
756.331,768.829,755.359,782.3,0,0,0.2,0.269418
754.892,769.096,755.45,782.742,0,0,0.2,0.272924
753.496,768.739,755,782.478,0,0,0.2,0.274777
752.751,768.413,754.601,782.226,0,0,0.2,0.276256
751.549,768.292,754.58,782.003,0,0,0.2,0.274233
750.878,767.775,753.789,781.761,0,0,0.2,0.279718
750.595,766.705,752.766,780.644,0,0,0.2,0.278777
750.894,767.723,753.816,781.63,0,0,0.2,0.278139
751.652,767.524,753.57,781.477,0,0,0.2,0.279072
752.708,767.651,753.878,781.424,0,0,0.2,0.275461
753.66,767.671,753.926,781.416,0,0,0.2,0.274895
754.493,766.99,753.109,780.87,0,0,0.2,0.277601
755.972,767.673,753.944,781.401,0,0,0.2,0.274564
756.881,767.636,754.01,781.262,0,0,0.2,0.272524
758.472,766.961,753.044,780.878,0,0,0.16978,0.278342
758.913,768.201,754.41,781.992,0,0,0.185763,0.275821
759.914,767.687,753.783,781.592,0,0,0.155466,0.278092
760.124,768.221,754.45,781.993,0,0,0.161949,0.275436
761.012,768.155,754.536,781.774,0,0,0.142866,0.272377
761.516,768.794,755.247,782.341,0,0,0.145552,0.27094
761.007,767.984,754.732,781.236,0,0,0.139533,0.265042
760.369,768.105,754.807,781.404,0,0,0.154729,0.265967
759.92,768.359,755.095,781.622,0,0,0.168772,0.265268
758.82,768.334,755.16,781.509,0,0,0.190288,0.263492
757.328,768.702,755.48,781.925,0,0,0.2,0.264446
755.941,768.497,754.827,782.168,0,0,0.2,0.273407
754.595,769.148,755.782,782.513,0,0,0.2,0.267312
753.786,768.534,755.036,782.032,0,0,0.2,0.269964
752.631,768.532,755.165,781.899,0,0,0.2,0.267337
751.58,768.019,754.262,781.776,0,0,0.2,0.275139
750.478,767.631,754.039,781.222,0,0,0.2,0.271828
750.137,768.617,755.032,782.202,0,0,0.2,0.271692
750.839,767.77,754.228,781.313,0,0,0.2,0.270847
751.637,767.018,753.545,780.491,0,0,0.2,0.269454
751.914,767.925,754.227,781.622,0,0,0.2,0.273948
752.854,767.25,753.587,780.914,0,0,0.2,0.273261
753.982,767.638,753.729,781.547,0,0,0.2,0.278187
755.243,767.778,753.623,781.932,0,0,0.2,0.283082
756.347,768.014,754.024,782.003,0,0,0.2,0.279797
757.207,768.149,754.12,782.178,0,0,0.2,0.280586
758.181,768.619,754.659,782.579,0,0,0.2,0.279196
759.139,768.303,754.373,782.232,0,0,0.183273,0.27859
760.019,767.991,753.993,781.989,0,0,0.159436,0.279956
760.586,768.056,754.154,781.958,0,0,0.149397,0.278038
760.724,768.539,754.625,782.454,0,0,0.156309,0.278293
760.178,768.404,754.96,781.848,0,0,0.164526,0.268881
759.554,768.59,754.948,782.231,0,0,0.180717,0.272829
759.029,768.381,754.933,781.829,0,0,0.187039,0.268966
758.032,768.727,755.217,782.237,0,0,0.2,0.270194
756.623,768.716,755.273,782.16,0,0,0.2,0.268873
755.152,768.656,755.006,782.307,0,0,0.2,0.27301
753.93,768.415,754.767,782.064,0,0,0.2,0.272969
752.743,769.263,755.452,783.075,0,0,0.2,0.27623
754.698,768.233,754.458,782.008,0,1,0.2,0.275493
753.392,768.194,754.301,782.086,0,0,0.2,0.27785
752.218,767.344,753.649,781.04,0,0,0.2,0.273911
751.173,767.222,753.278,781.166,0,0,0.2,0.278878
